st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
55,1980,Wisconsin,WI,2273,982,1089,0.525832951,0.474167079,19245.00391,1.924500346
56,1980,Wyoming,WY,177,49,111,0.693750024,0.306250006,22312.55078,2.231255054
1,1984,Alabama,AL,1442,552,873,0.612631559,0.387368411,16313.67383,1.631367326
2,1984,Alaska,AK,208,62,138,0.689999998,0.310000002,29451.59375,2.945159435
4,1984,Arizona,AZ,1026,334,681,0.670935988,0.329064041,19459.22461,1.945922494
5,1984,Arkansas,AR,884,339,535,0.612128139,0.387871861,15963.3291,1.596332908
6,1984,California,CA,9505,3923,5467,0.58221513,0.41778487,24152.63281,2.415263176
8,1984,Colorado,CO,1295,455,822,0.643696189,0.356303841,22316.34375,2.231634378
9,1984,Connecticut,CT,1467,570,891,0.609856248,0.390143722,26535.58008,2.653558016
10,1984,Delaware,DE,255,102,152,0.59842521,0.40157479,22337.48633,2.233748674
12,1984,Florida,FL,4180,1449,2730,0.653266311,0.34673366,20812.2793,2.081228018
13,1984,Georgia,GA,1776,707,1069,0.601914406,0.398085594,18436.88281,1.84368825
15,1984,Hawaii,HI,336,147,185,0.557228923,0.442771077,22553.43164,2.255343199
16,1984,Idaho,ID,411,109,298,0.732186735,0.267813265,16722.91211,1.67229116
17,1984,Illinois,IL,4819,2086,2707,0.564781964,0.435218036,22459.80469,2.245980501
18,1984,Indiana,IN,2233,841,1377,0.620829582,0.379170418,18820.44922,1.882044911
19,1984,Iowa,IA,1320,606,703,0.537051201,0.462948829,19459.22461,1.945922494
20,1984,Kansas,KS,1022,333,677,0.670297027,0.329702973,20727.71289,2.072771311
21,1984,Kentucky,KY,1369,540,822,0.603524208,0.396475762,16810.49805,1.681049824
22,1984,Louisiana,LA,1707,652,1037,0.613972783,0.386027247,17621.42578,1.762142539
23,1984,Maine,ME,553,215,337,0.61050725,0.38949275,17648.60742,1.764860749
24,1984,Maryland,MD,1676,788,880,0.527577937,0.472422063,23864.20313,2.38642025
25,1984,Massachusetts,MA,2559,1240,1311,0.513916135,0.486083895,23743.39453,2.374339342
26,1984,Michigan,MI,3802,1530,2252,0.59545213,0.40454787,20614.45508,2.061445475
27,1984,Minnesota,MN,2084,1036,1033,0.499274999,0.500724971,21670.01953,2.167001963
28,1984,Mississippi,MS,941,352,582,0.623126328,0.376873672,14220.66699,1.422066689
29,1984,Missouri,MO,2123,849,1274,0.600094199,0.399905801,19777.85547,1.977785587
30,1984,Montana,MT,384,147,232,0.612137198,0.387862802,17677.29883,1.767729878
31,1984,Nebraska,NE,652,188,460,0.709876537,0.290123463,19795.97852,1.979597807
32,1984,Nevada,NV,287,92,189,0.672597885,0.327402145,22074.72656,2.207472563
33,1984,New Hampshire,NH,389,120,267,0.689922452,0.310077518,21967.50977,2.196750879
34,1984,New Jersey,NJ,3218,1261,1934,0.605320811,0.394679189,25064.73633,2.506473541
35,1984,New Mexico,NM,514,202,307,0.603143394,0.396856576,17086.84766,1.708684802
36,1984,New York,NY,6807,3120,3665,0.540162146,0.459837884,23932.1582,2.393215895
37,1984,North Carolina,NC,2175,824,1346,0.620276511,0.379723489,17882.67383,1.788267374
38,1984,North Dakota,ND,309,104,200,0.657894731,0.342105269,18661.88867,1.866188884
39,1984,Ohio,OH,4548,1825,2679,0.594804645,0.405195385,20368.30859,2.036830902
40,1984,Oklahoma,OK,1256,385,862,0.691259027,0.308740973,19226.66797,1.922666788
